page,electoral_district,locality,venue_type,entry_raw
8,Temuka,Glenavy,Public School,"The Public School, Glenavy"
8,Temuka,Hakataramea Valley (Hakataramea,Public School,"The Public School, Hakataramea Valley (Hakataramea"
8,Temuka,Otepopo,Public School,"The Public School, Otepopo (Herbert Post-office)"
8,Temuka,Kurow,Public School,"The Public School, Kurow"
8,Temuka,MeCuJloch’s,Other,"James Patterson’s House, Creamery, MeCuJloch’s"
8,Temuka,Morven,School,"The Publie School, Morven"
8,Temuka,Ngapara,Other,"The Public Schoul, Ngapara"
8,Temuka,Otekaieke,Public School,"The Public School, Otekaieke"
8,Temuka,Omarama,Other,"The Station-house, Omarama (Kurow Post-office)"
8,Temuka,Pukeuri,Other,"The Public, School, Pukeuri"
8,Temuka,Papakaio,Public School,"The Public School, Papakaio"
8,Temuka,Redcliff,Public School,"The Public School, Redcliff (Ikawai Post-office)"
8,Temuka,Sandhurst,Public School,"The Public School, Sandhurst (Hakataramea Post-office)"
8,Temuka,Tokarahi,Other,"The Hall, Tokarahi"
8,Temuka,Totara,Public School,"The Public School, Totara (Totaratahi Post-office)"
8,Temuka,Windsor,Public School,"The Public School, Windsor"
8,Temuka,Weston,Public School,"The Public School, Weston"
8,Temuka,Incholme,Public School,"The Public School, Incholme"
9,Otago Central,Naseby,Other,"The Odd Fellows’ Hall, Naseby (principal)"
9,Otago Central,St,Courthouse,"The Courthouse, St"
9,Otago Central,Cambrian,Public School,"The Public School, Cambrian"
9,Otago Central,Lauder,Other,"he Public School, Lauder"
9,Otago Central,Matakanui,Public School,"The Public School, Matakanui"
9,Otago Central,Galloway,Public School,"The Public School, Galloway"
9,Otago Central,Alexandra,Town Hall,"The Town Hall, Alexandra"
9,Otago Central,Roxburgh,Hall,"The Atheneum Hall, Roxburgh"
9,Otago Central,Miller’s Flat,Other,"The Hall, Miller’s Flat"
9,Otago Central,Rae’s Junction,Public School,"The Public School, Rae’s Junction"
9,Otago Central,Crookston,Public School,"The Public School, Crookston"
9,Otago Central,Edievale,Other,"George Spencer’s House, Edievale"
9,Otago Central,Kelso,Hall,"Dunnett's Hall, Kelso"
9,Otago Central,near - Kelso,Public School,"The Public School, Glenkenich, near - Kelso"
9,Otago Central,Waikoikoi,Other,"Donald McBeath’ s House, Waikoikoi"
9,Otago Central,Moa Creck,Public School,"The Public School, Moa Creck"
9,Otago Central,Patearoa,Public Hall,"The Public Hall, Patearoa"
9,Otago Central,Waipiata,Public Hall,"The Public Hall, Waipiata"
9,Otago Central,Macrac’s,Courthouse,"The Courthouse, Macrac’s"
9,Otago Central,Moonlight,Public School,"The Public School, Moonlight"
9,Otago Central,Kyeburn,Public School,"The Public School, Kyeburn"
9,Otago Central,Kokonga,Public School,"The Public School, Kokonga"
9,Otago Central,Ranfurly,Other,"The Hall, Ranfurly"
9,Otago Central,Beck’s,Public School,"The Public School, Beck’s"
9,Otago Central,Omakau,Other,"The Porters’ Room, Railway-station, Omakau"
9,Otago Central,Ettrick,Public School,"The Public School, Ettrick"
9,Otago Central,Poolburn,School,"The Publie School, Poolburn"
9,Otago Central,Oturehua,Other,"The Hall, Oturehua"
9,Otago Central,Outram,Courthouse,"The Courthouse, Outram"
9,Otago Central,Maungatua,Public School,"The Public School, Maungatua"
9,Otago Central,Berwick,Public School,"The Public School, Berwick"
9,Otago Central,Middlemarch,Courthouse,"The Courthouse, Middlemarch"
9,Otago Central,Hindon,Public School,"The Public School, Hindon"
9,Otago Central,Lee Stream,Other,"John Dean’s House, Lee Stream"
9,Otago Central,Henley,Public School,"The Public School, Henley"
9,Otago Central,Momona,Public School,"The Public School, Momona"
9,Otago Central,Woodside,Public School,"The Public School, Woodside"
9,Otago Central,Hindon Railway-station,Other,"The Ladies’ Waiting-room, Hindon Railway-station"
9,Otago Central,Sutton,Public School,"The Public School, Sutton"
9,Otago Central,Hyde,Courthouse,"The Courthouse, Hyde"
9,Otago Central,Ngapuna,Public School,"The Public School, Ngapuna"
9,Otago Central,Moa Creek,Other,"The Tin Shed, Halliday’s Flat, Moa Creek"
9,Otago Central,Otokia,Other,"The ‘Taieri County Hut, Otokia"
9,Dunedin North,North-east Valley,Other,"Jouncil Chambers, North-east Valley"
9,Dunedin North,Woodhaugh,Hall,"The Mission Hall, Woodhaugh"
9,Dunedin North,Opohbo,Hall,"The Mission Hall, Opohbo"
9,Dunedin West,Roslyn,Council Chambers,"The Council Chambers, Roslyn"
9,Dunedin Central,Dowling Street,Other,"The King’s Theatre, Dowling Street (principal)"
9,Dunedin Central,Caversham,Other,"The Odd Fellows’ Hall, David Strect, Caversham"
9,Dunedin Central,St,Hall,"The Presbyterian Sunday-school Hall, St"
9,Dunedin Central,Port Chalmers,Hall,"The Garrison Hall, Port Chalmers (principal)"
9,Dunedin Central,Sawycr’s Bay,Public School,"The Public School, Sawycr’s Bay"
