geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
CT00009,Waihola,Bruce,-46.116667,169.966667,3,47,Mixed,5,12,2,52
CT00014,Waikoikoi,Clutha,-46.233333,169.75,3,38,Mixed,5,12,2,42
CT00100,Waikouaiti,Waikouaiti,-45.60014881,170.4716171,4,155,Mixed,5,12,6,172
CT00014,Waipahi,Clutha,-46.233333,169.75,2,34,Mixed,5,12,1,38
CT00054,Waipiata,Maniototo,-45.12086448,170.0292969,1,32,Mixed,5,12,1,36
CT00087,Waipori,Taieri,-45.887,170.2335,2,19,Mixed,5,12,1,21
CT00087,Waipori Falls,Taieri,-45.887,170.2335,1,17,Mixed,5,12,1,19
CT00014,Wairuna,Clutha,-46.233333,169.75,2,21,Mixed,5,12,1,23
CT00093,Waitahuna,Tuapeka,-45.913,169.688,3,83,Mixed,5,12,2,92
CT00093,Waitahuna Gully,Tuapeka,-45.913,169.688,2,24,Mixed,5,12,1,27
CT00093,Waitahuna West,Tuapeka,-45.913,169.688,1,17,Mixed,5,12,1,19
CT00113,Waitaki Bridge,Waitaki,-44.926,170.635,2,26,Mixed,5,12,1,29
CT00014,Waitapeka,Clutha,-46.233333,169.75,1,23,Mixed,5,12,1,26
CT00100,Waitati,Waikouaiti,-45.60014881,170.4716171,3,84,Mixed,5,12,3,93
CT00014,Waiwera,Clutha,-46.233333,169.75,3,58,Mixed,5,12,2,64
CT00113,Walton,Waitaki,-44.926,170.635,3,58,Mixed,5,12,2,64
CT00048,Wanaka,Lake,-44.83281,168.50304,1,14,Mixed,5,12,1,16
CT00048,Wanaka Road,Lake,-44.83281,168.50304,0,5,Mixed,5,12,1,6
CT00014,Wangaloa,Clutha,-46.233333,169.75,1,5,Mixed,5,12,1,6
CT00014,Warepa,Clutha,-46.233333,169.75,1,22,Mixed,5,12,1,24
CT00014,Waronui,Clutha,-46.233333,169.75,2,21,Mixed,5,12,1,23
CT00054,Wedderburn,Maniototo,-45.12086448,170.0292969,2,23,Mixed,5,12,1,26
CT00113,Weston,Waitaki,-44.926,170.635,3,90,Mixed,5,12,2,100
CT00087,West Taieri,Taieri,-45.887,170.2335,2,27,Mixed,5,12,1,30
CT00014,Wetherstones,Clutha,-46.233333,169.75,1,13,Mixed,5,12,1,14
CT00087,Whare Flat,Taieri,-45.887,170.2335,0,9,Mixed,5,12,1,10
CT00097,Wharekuri,Waihemo,-45.383,170.633,1,14,Mixed,5,12,1,16
CT00014,Wharetoa,Clutha,-46.233333,169.75,1,10,Mixed,5,12,1,11
CT00113,Windsor,Waitaki,-44.926,170.635,3,47,Mixed,5,12,2,52
CT00087,Wylie's Crossing,Taieri,-45.887,170.2335,2,24,Mixed,5,12,1,27
BR00057,Clifton Terrace,Nelson,-41.27078,173.28404,2,28,Mixed,5,12,1,31
BR00057,Golden Downs,Nelson,-41.27078,173.28404,0,5,Mixed,5,12,1,6
BR00057,Happy Valley,Nelson,-41.27078,173.28404,2,26,Mixed,5,12,1,29
BR00057,Hillside,Nelson,-41.27078,173.28404,1,16,Mixed,5,12,1,18
BR00052,Motueka District High School and Whakarewa (side school),Motueka,-41.12333,173.01472,5,281,Mixed,5,18,10,312
BR00057,Nelson Boys' (260) Brook Street (side school) (122) and Tasman Street (side school) (157),Nelson,-41.27078,173.28404,7,529,Boys,5,12,20,588
BR00057,Nelson Girls' (223) Hampden Street (side school) (175) and Haven Road (side school) (87),Nelson,-41.27078,173.28404,7,585,Girls,5,12,11,650
BR00057,Norris's Gully,Nelson,-41.27078,173.28404,0,5,Mixed,5,12,1,6
BR00057,Pariwhakaho,Nelson,-41.27078,173.28404,0,10,Mixed,5,12,1,11
BR00057,Redwood's Valley,Nelson,-41.27078,173.28404,0,5,Mixed,5,12,1,6
BR00081,Richmond,Richmond,-41.3333,173.183,4,201,Mixed,5,12,4,223
BR00057,Tahuna,Nelson,-41.27078,173.28404,3,86,Mixed,5,12,2,96
BR00057,Te Arowhenua,Nelson,-41.27078,173.28404,0,4,Mixed,5,12,1,4
BR00057,Tophouse,Nelson,-41.27078,173.28404,0,6,Mixed,5,12,1,7
BR00057,Wairangi,Nelson,-41.27078,173.28404,0,3,Mixed,5,12,1,3
BR00112,Westport District High School,Westport,-41.75262,171.6037,7,734,Mixed,5,18,19,816
BR00057,Whangamoa,Nelson,-41.27078,173.28404,0,7,Mixed,5,12,1,8
CT00010,Addison's Flat,Buller,-41.813,171.793,1,11,Mixed,5,12,1,12
CT00010,Anatimo,Buller,-41.813,171.793,0,4,Mixed,5,12,1,4
CT00105,Appleby,Waimea,-41.33333,173.183333,2,36,Mixed,5,12,1,40
CT00010,Arapito,Buller,-41.813,171.793,1,16,Mixed,5,12,1,18
CT00010,Ariki,Buller,-41.813,171.793,1,9,Mixed,5,12,1,10
CT00105,Awaroa,Waimea,-41.33333,173.183333,0,8,Mixed,5,12,1,9
